name	website	university_id
College of Agriculture and Life Sciences	https://cals.cornell.edu/	124
College of Architecture, Art, and Planning	https://aap.cornell.edu/	124
College of Arts and Sciences	https://as.cornell.edu/	124
Cornell SC Johnson College of Business	https://business.cornell.edu/	124
Peter and Stephanie Nolan School of Hotel Administration	https://sha.cornell.edu/	124
The Charles H. Dyson School of Applied Economics and Management	https://dyson.cornell.edu/	124
Cornell Ann S.Bowers College of Computing and Information Science	https://www.cis.cornell.edu/	124
College of Engineering	https://www.engineering.cornell.edu/	124
College of Human Ecology	https://www.human.cornell.edu/	124
School of Industrial and Labor Relations	https://www.ilr.cornell.edu/	124
Cornell Jeb E. Brooks School of Public Policy	https://publicpolicy.cornell.edu/	124
Cornell Tech	https://tech.cornell.edu/	124
Cornell Law School	https://www.lawschool.cornell.edu/	124
College of Veterinary Medicine	https://www.vet.cornell.edu/	124
Graduate School	https://gradschool.cornell.edu/	124
Weill Cornell Medicine	https://weill.cornell.edu/	124
School of Continuing Education and Summer Sessions	https://sce.cornell.edu/	124
School of Agriculture, Food and Ecosystem Sciences	https://safes.unimelb.edu.au/	125
School of BioSciences	https://biosciences.unimelb.edu.au/	125
School of Chemistry	https://chemistry.unimelb.edu.au/	125
School of Geography, Earth and Atmospheric Sciences	https://science.unimelb.edu.au/	125
School of Mathematics and Statistics	https://ms.unimelb.edu.au/	125
School of Physics	https://physics.unimelb.edu.au/	125
Melbourne Veterinary School	https://mvs.unimelb.edu.au/	125
Division of Biology and Biological Engineering	https://www.bbe.caltech.edu/	126
Division of Chemistry and Chemical Engineering	https://cce.caltech.edu/	126
Division of Engineering and Applied Science	https://eas.caltech.edu/	126
Division of Geological and Planetary Sciences	https://gps.caltech.edu/	126
Division of Humanities and Social Sciences	https://www.hss.caltech.edu/	126
Division of Physics, Mathematics and Astronomy	https://pma.caltech.edu/	126
Yale College	https://yalecollege.yale.edu/	127
Graduate School of Arts and Sciences	https://gsas.yale.edu/	127
School of Architecture	https://www.architecture.yale.edu/	127
School of Art	https://art.yale.edu/	127
Divinity School	https://divinity.yale.edu/	127
David Geffen School of Drama	https://drama.yale.edu/	127
School of Engineering and Applied Science	https://seas.yale.edu/	127
School of the Environment	https://environment.yale.edu/	127
Jackson School of Global Affairs	https://jackson.yale.edu/	127
Law School	https://law.yale.edu/	127
School of Management	https://som.yale.edu/	127
School of Medicine	https://medicine.yale.edu/	127
School of Music	https://music.yale.edu/	127
School of Nursing	https://nursing.yale.edu/	127
School of Public Health	https://publichealth.yale.edu/	127
Princeton Undergraduate College	https://ua.princeton.edu/policies-resources/undergraduate-program	129
Schoolf of Architecture	https://soa.princeton.edu/	129
School of Engineering and Applied Science	https://engineering.princeton.edu/	129
Humanities Council	https://humanities.princeton.edu/	129
School of Public and International Affairs	https://spia.princeton.edu/	129
Applied science and engineering	https://www.engineering.utoronto.ca/	131
Daniels Faculty of Architecture, Landscape, and Design	https://www.daniels.utoronto.ca/	131
Faculty of Arts and Science	https://www.artsci.utoronto.ca/	131
School of Continuing Studies	https://learn.utoronto.ca/	131
Faculty of Dentistry	https://www.dentistry.utoronto.ca/	131
Ontario Institute for Studies in Education	https://www.oise.utoronto.ca/	131
Faculty of Information	https://ischool.utoronto.ca/	131
Faculty of Kinesiology and Physical Education	https://kpe.utoronto.ca/	131
Faculty of Law	https://www.law.utoronto.ca/	131
Rotman School of Management	https://www.rotman.utoronto.ca/	131
Temerty Faculty of Medicine	https://temertymedicine.utoronto.ca/	131
Faculty of Music	https://music.utoronto.ca/	131
Lawrence S. Bloomberg Faculty of Nursing	https://bloomberg.nursing.utoronto.ca/	131
Leslie Dan Faculty of Pharmacy	https://pharmacy.utoronto.ca/	131
Dalla Lana School of Public Health	https://www.dlsph.utoronto.ca/	131
Factor-Inwentash Faculty of Social Work	https://socialwork.utoronto.ca/	131
College of Arts, Humanities and Social Sciences	https://www.ed.ac.uk/arts-humanities-soc-sci	132
College of Medicine & Veterinary Medicine	https://www.ed.ac.uk/medicine-vet-medicine	132
College of Science & Engineering	https://www.ed.ac.uk/science-engineering	132
Graduate School of Architecture, Planning, and Preservation	https://www.arch.columbia.edu/	133
Graduate School of Arts and Sciences	https://gsas.columbia.edu/	133
School of the Arts	https://arts.columbia.edu/	133
Barnard College	https://barnard.edu/	133
Business School	https://www8.gsb.columbia.edu/	133
Climate School	https://climate.columbia.edu/	133
Columbia College	https://www.college.columbia.edu/	133
Journalism School	https://journalism.columbia.edu/	133
Law School	https://www.law.columbia.edu/	133
College of Dental Medicine	https://www.dental.columbia.edu/	133
Fu Foundation School of Engineering and Applied Science	https://www.engineering.columbia.edu/	133
School of General Studies	https://gs.columbia.edu/	133
School of International and Public Affairs	https://www.sipa.columbia.edu/	133
School of Nursing	https://nursing.columbia.edu/	133
College of Physicians and Surgeons	https://www.ps.columbia.edu/	133
School of Professional Studies	https://sps.columbia.edu/	133
Mailman School of Public Health	https://www.publichealth.columbia.edu/	133
School of Social Work	https://socialwork.columbia.edu/	133
Teachers College	https://www.tc.columbia.edu/	133
École nationale supérieure de Chimie de Paris	https://psl.eu/en/university/schools/universite-psl/ecole-nationale-superieure-de-chimie-de-paris-psl	134
Conservatoire National Supérieur d'Art Dramatique	https://psl.eu/en/university/schools/universite-psl/conservatoire-national-superieur-dart-dramatique-psl	134
Dauphine	https://psl.eu/en/university/schools/universite-psl/dauphine-psl	134
École nationale des chartes	https://psl.eu/en/university/schools/universite-psl/ecole-nationale-des-chartes-psl	134
École normale supérieure	https://psl.eu/universite/nos-etablissements/luniversite-psl/ecole-normale-superieure-psl	134
École Pratique des Hautes Études	https://psl.eu/universite/nos-etablissements/luniversite-psl/ecole-pratique-des-hautes-etudes-psl	134
École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris	https://psl.eu/universite/nos-etablissements/luniversite-psl/espci-paris-psl	134
MINES Paris	https://psl.eu/universite/nos-etablissements/luniversite-psl/mines-paris-psl	134
Observatoire de Paris	https://psl.eu/universite/nos-etablissements/luniversite-psl/observatoire-de-paris-psl	134
Collège de France	https://psl.eu/universite/nos-etablissements/associes/college-de-france	134
Institut Curie	https://psl.eu/universite/nos-etablissements/associes/institut-curie	134
The Centre National de la Recherche Scientifique	https://psl.eu/en/university/schools/research-centers/cnrs	134
Inria	https://psl.eu/en/university/schools/research-centers/inria	134
The Institut national de la santé et de la recherche médicale	https://psl.eu/en/university/schools/research-centers/inserm	134
Faculty of Arts	http://arts.hku.hk/	137
School of Biological Sciences	https://www.biosch.hku.hk/	137
School of Humanities	https://soh.hku.hk/	137
School of Biomedical Sciences	https://www.sbms.hku.hk/	137
HKU Business School	https://www.hkubs.hku.hk/	137
Faculty of Architecture	https://www.arch.hku.hk/	137
School of Chinese	https://www.hku.hk/chinese/	137
School of Chinese Medicine	https://www.scm.hku.hk/	137
Chisun College	https://www.chisuncollege.hku.hk/	137
School of Clinical Medicine	https://www.sclinmed.hku.hk/	137
