school_short_name	iso639_1	domain_name	type
princeton	en-US	https://www.princetontigersathletics.com/	athletics
princeton	en-US	https://alumni.princeton.edu/	alumni
princeton	en-US	https://campuslife.princeton.edu/	student life
unsw-edu-au	en-AU	https://www.unsw.edu.au/	index
unsw-edu-au	en-AU	https://www.library.unsw.edu.au/	libraries
unsw-edu-au	en-AU	https://www.futurestudents.unsw.edu.au/	admissions
unsw-edu-au	en-AU	https://www.sport.unsw.edu.au/	athletics
unsw-edu-au	en-AU	https://www.handbook.unsw.edu.au/	catalog
unsw-edu-au	en-AU	https://www.alumni.unsw.edu.au/	alumni
unsw-edu-au	en-AU	https://www.student.unsw.edu.au/	student life
unsw-edu-au	en-AU	https://www.gs.unsw.edu.au/	graduate
unsw-edu-au	en-AU	https://www.my.unsw.edu.au/	registrar
utoronto-ca	en-CA	https://www.utoronto.ca/	index
utoronto-ca	en-CA	https://www.library.utoronto.ca/	libraries
utoronto-ca	en-CA	https://future.utoronto.ca/	admissions
utoronto-ca	en-CA	https://www.kpe.utoronto.ca/	athletics
utoronto-ca	en-CA	https://www.artsci.utoronto.ca/	undergraduate
utoronto-ca	en-CA	https://www.sgs.utoronto.ca/	graduate
utoronto-ca	en-CA	https://www.alumni.utoronto.ca/	alumni
utoronto-ca	en-CA	https://registrar.utoronto.ca/	registrar
utoronto-ca	en-CA	https://onesearch.library.utoronto.ca/	catalog
utoronto-ca	en-CA	https://studentlife.utoronto.ca/	student life
ed-ac-uk	en-GB	https://www.ed.ac.uk/	index
columbia	en-US	https://www.columbia.edu/	index
columbia	en-US	https://admissions.columbia.edu/	admissions
columbia	en-US	https://library.columbia.edu/	libraries
columbia	en-US	https://registrar.columbia.edu/	registrar
columbia	en-US	https://bulletin.columbia.edu/	catalog
columbia	en-US	https://www.college.columbia.edu/	undergraduate
columbia	en-US	https://www.gsas.columbia.edu/	graduate
columbia	en-US	https://www.alumni.columbia.edu/	alumni
columbia	en-US	https://gocolumbialions.com/	athletics
columbia	en-US	https://universitylife.columbia.edu/	student life
psl-eu	fr-FR	https://psl.eu/	index
tsinghua-edu-cn	cn-ZH	https://www.tsinghua.edu.cn/	index
tsinghua-edu-cn	cn-ZH	https://lib.tsinghua.edu.cn/	libraries
ntu-edu-sg	en-US	https://www.ntu.edu.sg/	index
hku-hk	zh-HK	https://www.hku.hk/	index
hku-hk	zh-HK	https://www.lib.hku.hk/	libraries
hku-hk	zh-HK	https://www.alumni.hku.hk/	alumni
hku-hk	zh-HK	https://www.sports.hku.hk/	athletics
hku-hk	zh-HK	https://admissions.hku.hk/	admissions
hku-hk	zh-HK	https://gradsch.hku.hk/	graduate
jhu-edu	en-US	https://www.jhu.edu/	index
jhu-edu	en-US	https://www.library.jhu.edu/	libraries
jhu-edu	en-US	https://www.admissions.jhu.edu/	admissions
jhu-edu	en-US	https://studentaffairs.jhu.edu/	student life
jhu-edu	en-US	https://www.hopkinssports.com/	athletics
jhu-edu	en-US	https://www.alumni.jhu.edu/	alumni
jhu-edu	en-US	https://registrar.jhu.edu/	registrar
jhu-edu	en-US	https://advanced.jhu.edu/	graduate
jhu-edu	en-US	https://e-catalogue.jhu.edu/	catalog
u-tokyo-ac-jp	ja-JP	https://www.u-tokyo.ac.jp/	index
u-tokyo-ac-jp	ja-JP	https://www.lib.u-tokyo.ac.jp/	libraries
ucla-edu	en-US	https://www.ucla.edu/	index
ucla-edu	en-US	https://www.admission.ucla.edu/	admissions
ucla-edu	en-US	https://www.registrar.ucla.edu/	registrar
ucla-edu	en-US	https://www.catalog.registrar.ucla.edu/	catalog
ucla-edu	en-US	https://www.alumni.ucla.edu/	alumni
ucla-edu	en-US	https://www.studentaffairs.ucla.edu/	student life
ucla-edu	en-US	https://www.athletics.ucla.edu/	athletics
ucla-edu	en-US	https://www.gdnet.ucla.edu/	graduate
ucla-edu	en-US	https://www.library.ucla.edu/	libraries
ucla-edu	en-US	https://www.college.ucla.edu/	undergraduate
mcgill-ca	en-CA	https://www.mcgill.ca/	index
manchester-ac-uk	en-GB	https://www.manchester.ac.uk/	index
manchester-ac-uk	en-GB	https://www.library.manchester.ac.uk/	libraries
manchester-ac-uk	en-GB	https://www.alumni.manchester.ac.uk/	alumni
manchester-ac-uk	en-GB	https://www.sport.manchester.ac.uk/	athletics
manchester-ac-uk	en-GB	https://www.studentsupport.manchester.ac.uk/	student life
umich-edu	en-US	https://www.umich.edu/	index
umich-edu	en-US	https://www.lib.umich.edu/	libraries
umich-edu	en-US	https://www.admissions.umich.edu/	admissions
umich-edu	en-US	https://www.registrar.umich.edu/	registrar
umich-edu	en-US	https://www.catalog.registrar.umich.edu/	catalog
umich-edu	en-US	https://www.alumni.umich.edu/	alumni
umich-edu	en-US	https://www.studentlife.umich.edu/	student life
umich-edu	en-US	https://www.mgoblue.com/	athletics
umich-edu	en-US	https://www.rackham.umich.edu/	graduate
umich-edu	en-US	https://www.lsa.umich.edu/	undergraduate
anu-edu-au	en-AU	https://www.anu.edu.au/	index
anu-edu-au	en-AU	https://www.apply-asa.anu.edu.au/	admissions
anu-edu-au	en-AU	https://anulib.anu.edu.au/	libraries
anu-edu-au	en-AU	https://programsandcourses.anu.edu.au/	catalog
ubc-ca	en-CA	https://www.ubc.ca/	index
ubc-ca	en-CA	https://www.library.ubc.ca/	libraries
ubc-ca	en-CA	https://you.ubc.ca/	admissions
ubc-ca	en-CA	https://www.grad.ubc.ca/	graduate
ubc-ca	en-CA	https://www.alumni.ubc.ca/	alumni
ubc-ca	en-CA	https://www.students.ubc.ca/	student life
ubc-ca	en-CA	https://www.gothunderbirds.ca/	athletics
ubc-ca	en-CA	https://www.calendar.ubc.ca/	catalog
epfl-ch	fr-CH	https://www.epfl.ch/	index
epfl-ch	fr-CH	https://library.epfl.ch/	libraries
epfl-ch	fr-CH	https://www.alumni.epfl.ch/	alumni
epfl-ch	fr-CH	https://www.sports.epfl.ch/	athletics
tum-de	de-DE	https://www.tum.de/	index
tum-de	de-DE	https://www.ub.tum.de/	libraries
ip-paris	fr-FR	https://www.ip-paris.fr/	index
nyu-edu	en-US	https://www.nyu.edu/	index
nyu-edu	en-US	https://library.nyu.edu/	libraries
kcl-ac-uk	en-GB	https://www.kcl.ac.uk/	index
snu-ac-kr	ko-KR	https://www.snu.ac.kr/	index
monash-edu-au	en-AU	https://www.monash.edu/	index
uq-edu-au	en-AU	https://www.uq.edu.au/	index
zju-edu-cn	cn-ZH	https://www.zju.edu.cn/	index
lse-ac-uk	en-GB	https://www.lse.ac.uk/	index
kyoto-u-ac-jp	ja-JP	https://www.kyoto-u.ac.jp/	index
tudelft-nl	nl-NL	https://www.tudelft.nl/	index
northwestern-edu	en-US	https://www.northwestern.edu/	index
northwestern-edu	en-US	https://www.library.northwestern.edu/	libraries
sjtu-edu-cn	cn-ZH	https://www.sjtu.edu.cn/	index
cmu-edu	en-US	https://www.cmu.edu/	index
uva-nl	nl-NL	https://www.uva.nl/	index
lmu-de	de-DE	https://www.lmu.de/	index
bristol-ac-uk	en-GB	https://www.bristol.ac.uk/	index
kaist-ac-kr	ko-KR	https://www.kaist.ac.kr/	index
duke	en-US	https://www.duke.edu/	index
duke	en-US	https://library.duke.edu/	libraries
duke	en-US	https://admissions.duke.edu/	admissions
duke	en-US	https://registrar.duke.edu/	registrar
duke	en-US	https://gradschool.duke.edu/	graduate
duke	en-US	https://studentaffairs.duke.edu/	student life
duke	en-US	https://alumni.duke.edu/	alumni
duke	en-US	https://goduke.com/	athletics
duke	en-US	https://www.college.columbia.edu/	undergraduate
utexas-edu	en-US	https://www.utexas.edu/	index
utexas-edu	en-US	https://www.lib.utexas.edu/	libraries
utexas-edu	en-US	https://admissions.utexas.edu/	admissions
